Parcel_index,Nieuwenhuys_parcel,Lobe,GLI_exist,GLI_lateral,GLI_superior,GLI_median,GLI_inferior,GLI_Mean,Depth_exist,Baillarger_type,Baillarger_type_detail,Intrusion_type,Density_type,Reference,Original_information_source,Depth_profle
46,48,Frontal,1,148,126,156,,143,0,,,,,,,
47,49,Frontal,1,163,145,168,,159,1,Unistriate,Propeunistriate,,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 4p (Fig 7)","[249.81166667 243.575      243.46166667 243.845      244.37333333  240.91166667 244.595      244.185      242.72       242.39166667  240.61333333 239.685      238.895      236.525      236.205  233.405      229.39333333 226.93166667 226.47333333 223.18  220.705      219.06166667 212.71166667 206.46166667 201.545  195.975      205.52       196.9        197.87666667 190.03666667  177.76166667 172.82833333 165.16833333 156.34833333 146.43666667  136.23       130.34166667 124.62       114.58666667 114.55  107.78666667 104.26833333  94.985       96.93833333 110.025  120.955      124.15666667 114.32833333  96.86        93.56333333   77.40666667  74.73833333  56.01        59.90333333  53.24166667   67.19666667  68.63833333  67.68333333  64.14333333  58.375   65.825       59.21166667  59.31166667  58.89        58.05   47.65166667  49.70666667  42.315       45.22333333  35.48333333   32.26166667  26.96        25.44333333  19.395       17.755   10.61333333   9.22166667  10.145        6.55333333   6.07    5.88166667   5.04         5.59666667   5.28166667   5.13    5.05166667   4.95333333   5.345        5.42833333   4.93166667    4.69666667  12.91        20.01        14.78        13.87833333    5.51166667   5.47666667   5.22666667   5.46166667   6.115     ]"
48,50,Frontal,1,,147,161,,154,1,Unistriate,,Euradiate,,Strasburger1937a,"Stefan Geyer, Robert Turner - [Microstructural Parcellation of the Human Cerebral Cortex] - 76p (Fig 3.15)","[177.715 222.22  206.32  219.365 195.645 227.87  222.24  220.955 228.005 223.68  233.08  235.305 224.985 243.41  230.45  219.845 200.    215.54 211.73  221.435 190.165 222.385 222.125 210.55  184.63  188.845 192.685 179.665 179.045 188.31  163.14  153.665 160.69  141.8   136.075 135.93 128.05  116.685 105.835 116.555 106.4   110.08   94.32  120.57  104.685 112.985 106.805 130.015 133.125 129.92  118.775 130.6   117.695 131.7 113.98  105.605 103.915 104.615  90.62   91.05   79.835  89.52   87.115  82.46   91.295  86.255  84.06   96.85  101.02  105.025  89.66   97.955  86.93   97.82   94.265  95.16   86.94   82.145  77.07   75.265  69.265  69.095  71.475  47.115  62.765  44.645  44.51   43.76   39.485  34.545  29.61   21.51   22.97   26.555  20.725  26.65   20.445  23.295  21.54  22.75 ]"
49,51,Frontal,1,156,147,143,140,149,1,Bistriate,,Euradiate,Tenuifibrosa,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 4p (Fig 8)","[232.195      238.34833333 235.115      235.91       231.66  230.86333333 231.255      228.97333333 227.285      225.13  224.17833333 226.27833333 226.00333333 222.61666667 219.13166667  221.13166667 220.85666667 224.66666667 222.87833333 225.43  219.58666667 225.11166667 223.16666667 222.89333333 217.92166667  218.915      213.30833333 211.54       209.40333333 209.89666667  212.63166667 214.75       205.11166667 207.64833333 201.675  190.53       191.72666667 190.18666667 201.185      196.035  186.83333333 188.38       182.08833333 184.13833333 181.985  185.55333333 180.26666667 180.65333333 184.60333333 195.895  196.14333333 190.085      194.99833333 182.69       182.09666667  177.59333333 178.11333333 176.405      176.94333333 179.29166667  180.515      178.89333333 191.48833333 190.77833333 194.80333333  192.33833333 188.71333333 185.125      189.41833333 175.5  165.47166667 166.92       150.635      137.41333333 117.57333333   87.485       81.125       54.99833333  34.49666667  21.82833333   18.86        11.505       12.42666667  12.08333333  11.04166667    8.91666667  13.355       19.955       10.84833333  11.06333333   10.215       10.85833333  11.69833333  11.415       17.07   16.56166667  18.225       23.46333333  15.15833333  14.50166667]"
50,52,Frontal,1,,,,149,149,0,,,,,,,
51,53,Frontal,1,137,146,,155,146,0,,,,,,,
52,54,Frontal,1,118,140,,,129,0,,,,,,,
53,55,Frontal,1,89,120,,,105,0,Bistriate,,,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 4p (Fig 8)","[246.675      233.92       234.67833333 228.07833333 230.555  232.45666667 231.325      232.915      235.36833333 235.82833333  234.27833333 233.36666667 232.98833333 233.68666667 230.925  232.06666667 231.76       232.09166667 229.37166667 226.255  218.07666667 217.72333333 217.64666667 212.565      204.15  194.83666667 183.64666667 168.90666667 139.86666667 116.03166667  112.31333333 112.03333333  84.55833333  67.03        77.845   81.11166667  75.22666667  90.04833333 116.21333333  97.36833333  105.885      102.83        78.74666667  61.96166667  58.90833333   49.35666667  30.96        35.56333333  51.51333333  61.24   52.795       56.64833333  70.47333333  61.32666667  75.68333333   78.11        81.16666667  86.13833333  93.65333333  99.13166667  108.225      107.19        83.18833333  89.465       92.95   68.17666667  75.00666667  53.80666667  52.16        37.59833333   27.10833333  20.02666667  26.61166667  23.10333333  15.555   12.19333333  15.62833333  13.64         7.72         6.99666667    7.96         6.19833333   6.77166667   6.67         6.92666667    7.50666667   8.39833333   7.595        7.85         6.905    9.01333333   7.75333333   9.76333333  11.40333333   9.00666667   10.03166667  10.29166667   8.92833333  11.055       12.54333333]"
54,56,Frontal,1,97,106,,178,127,1,Unitostriate,Propeunitostriate,Euradiate,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 4p (Fig 7)","[240.315      238.57333333 239.68666667 241.67666667 240.64666667  241.15166667 241.19166667 239.57       240.24833333 236.94166667  237.03333333 238.49333333 238.21833333 236.31666667 236.09  232.69333333 229.56833333 223.33666667 222.00166667 221.54666667  217.855      217.895      219.74       217.79833333 210.09166667  209.435      202.42333333 201.58666667 191.155      185.88  172.96333333 161.63333333 147.15833333 129.73333333 104.39333333  101.44666667  82.89166667  85.295       85.44166667  80.63333333   85.765      100.23166667  94.41        89.24        77.305   57.56166667  54.42666667  55.00333333  40.73333333  29.16333333   39.12833333  44.86333333  49.88666667  55.36        56.87833333   48.90333333  65.11333333  55.93        58.41666667  61.67166667   65.17833333  67.02166667  52.21333333  50.42333333  39.17333333   42.40166667  33.31        23.79833333  18.375       14.815   11.60833333  15.05833333   7.475        7.94666667   4.93666667    4.62666667   4.05833333   4.52166667   4.36666667   4.59666667    4.34666667   4.355        4.19666667   4.45833333   3.98333333    4.05666667   3.83833333   3.89666667   4.76166667   3.885    3.86         4.13833333   3.80833333   4.365        4.405    4.05         4.41166667   5.33333333   5.765        7.27      ]"
55,57,Frontal,1,144,,,,144,0,,,,,,,
